date,real,nominal
1968-05-01,317.44,40.310
1968-06-01,315.63,40.310
1968-07-01,313.81,40.310
1968-08-01,312.93,40.310
1968-09-01,312.04,40.310
1968-10-01,310.27,40.310
1968-11-01,309.38,40.310
1968-12-01,308.49,40.310
1969-01-01,319.63,41.880
1969-02-01,317.83,41.880
1969-03-01,315.19,41.880
1969-04-01,313.47,41.880
1969-05-01,312.59,41.880
1969-06-01,310.88,41.880
1969-07-01,309.20,41.880
1969-08-01,307.52,41.880
1969-09-01,306.69,41.880
1969-10-01,305.05,41.880
1969-11-01,303.42,41.880
1969-12-01,301.83,41.880
1970-01-01,262.79,36.560
1970-02-01,261.40,36.560
1970-03-01,260.01,36.560
1970-04-01,258.00,36.560
1970-05-01,257.35,36.560
1970-06-01,255.99,36.560
1970-07-01,254.71,36.560
1970-08-01,254.71,36.560
1970-09-01,253.40,36.560
1970-10-01,252.12,36.560
1970-11-01,250.84,36.560
1970-12-01,249.60,36.560
1971-01-01,258.61,37.880
1971-02-01,263.78,38.740
1971-03-01,264.01,38.870
1971-04-01,264.29,39.010
1971-05-01,273.19,40.520
1971-06-01,268.35,40.100
1971-07-01,273.38,40.950
1971-08-01,284.41,42.710
1971-09-01,279.88,42.030
1971-10-01,282.33,42.500
1971-11-01,284.72,42.860
1971-12-01,287.45,43.480
1972-01-01,302.45,45.750
1972-02-01,317.50,48.260
1972-03-01,317.19,48.330
1972-04-01,321.00,49.030
1972-05-01,356.72,54.620
1972-06-01,404.52,62.090
1972-07-01,425.74,65.660
1972-08-01,433.62,67.030
1972-09-01,422.48,65.460
1972-10-01,416.60,64.860
1972-11-01,403.13,62.910
1972-12-01,408.58,63.910
1973-01-01,415.46,65.140
1973-02-01,469.91,74.200
1973-03-01,529.99,84.460
1973-04-01,564.06,90.510
1973-05-01,634.74,102.560
1973-06-01,738.87,120.200
1973-07-01,735.47,119.920
1973-08-01,642.04,106.580
1973-09-01,617.15,102.670
1973-10-01,596.28,100.080
1973-11-01,563.61,95.220
1973-12-01,627.80,106.750
1974-01-01,755.04,129.510
1974-02-01,870.42,151.220
1974-03-01,958.21,168.580
1974-04-01,974.20,172.120
1974-05-01,910.89,162.950
1974-06-01,852.77,153.790
1974-07-01,791.95,143.990
1974-08-01,839.50,154.490
1974-09-01,812.97,151.420
1974-10-01,845.30,158.980
1974-11-01,962.87,182.500
1974-12-01,961.77,183.720
1975-01-01,920.55,176.520
1975-02-01,930.10,179.730
1975-03-01,917.97,178.040
1975-04-01,870.96,169.580
1975-05-01,854.25,167.270
1975-06-01,833.14,164.360
1975-07-01,828.00,165.170
1975-08-01,814.15,162.700
1975-09-01,715.70,143.830
1975-10-01,706.47,142.750
1975-11-01,699.02,142.280
1975-12-01,681.92,139.310
1976-01-01,641.42,131.250
1976-02-01,638.52,131.140
1976-03-01,644.00,132.510
1976-04-01,619.52,127.920
1976-05-01,610.21,126.890
1976-06-01,600.84,125.620
1976-07-01,559.11,117.510
1976-08-01,519.59,109.780
1976-09-01,539.53,114.380
1976-10-01,545.14,116.160
1976-11-01,611.92,130.640
1976-12-01,625.28,133.950
1977-01-01,613.94,132.200
1977-02-01,627.58,136.520
1977-03-01,677.50,148.380
1977-04-01,675.44,149.170
1977-05-01,660.13,146.500
1977-06-01,630.00,140.750
1977-07-01,638.84,143.430
1977-08-01,643.57,144.980
1977-09-01,662.64,149.750
1977-10-01,701.48,159.030
1977-11-01,711.24,162.050
1977-12-01,701.44,160.330
1978-01-01,753.55,173.350
1978-02-01,770.12,178.310
1978-03-01,787.07,183.680
1978-04-01,742.82,174.700
1978-05-01,744.01,176.640
1978-06-01,765.73,183.760
1978-07-01,782.55,189.250
1978-08-01,849.63,206.370
1978-09-01,867.42,212.290
1978-10-01,921.67,227.630
1978-11-01,827.69,205.330
1978-12-01,833.50,207.700
1979-01-01,904.32,227.330
1979-02-01,967.90,246.160
1979-03-01,941.24,241.840
1979-04-01,921.06,239.360
1979-05-01,981.43,258.270
1979-06-01,1049.38,279.240
1979-07-01,1095.99,294.860
1979-08-01,1110.31,301.550
1979-09-01,1301.69,357.410
1979-10-01,1412.21,390.870
1979-11-01,1407.44,393.140
1979-12-01,1614.87,455.920
1980-01-01,2367.47,677.970
1980-02-01,2287.85,664.300
1980-03-01,1867.70,550.620
1980-04-01,1733.75,516.920
1980-05-01,1712.34,515.610
1980-06-01,1981.05,603.060
1980-07-01,2113.77,643.460
1980-08-01,2046.32,627.320
1980-09-01,2182.43,674.840
1980-10-01,2115.44,660.250
1980-11-01,1980.94,623.330
1980-12-01,1869.41,593.840
1981-01-01,1735.86,555.830
1981-02-01,1542.59,499.060
1981-03-01,1534.60,499.870
1981-04-01,1509.65,495.130
1981-05-01,1450.57,479.370
1981-06-01,1377.59,459.350
1981-07-01,1211.94,408.610
1981-08-01,1209.72,410.910
1981-09-01,1294.55,444.100
1981-10-01,1272.98,437.600
1981-11-01,1196.86,412.710
1981-12-01,1185.77,410.300
1982-01-01,1106.16,383.950
1982-02-01,1073.18,373.670
1982-03-01,947.34,329.510
1982-04-01,1003.94,350.660
1982-05-01,944.98,333.210
1982-06-01,881.73,314.790
1982-07-01,947.30,339.900
1982-08-01,1016.48,365.510
1982-09-01,1213.34,437.240
1982-10-01,1169.69,422.730
1982-11-01,1150.96,415.210
1982-12-01,1237.21,444.400
1983-01-01,1341.11,482.760
1983-02-01,1356.28,488.750
1983-03-01,1165.33,419.940
1983-04-01,1193.29,432.980
1983-05-01,1198.09,437.420
1983-06-01,1127.85,412.980
1983-07-01,1149.47,422.600
1983-08-01,1129.11,416.340
1983-09-01,1109.36,411.180
1983-10-01,1058.00,393.310
1983-11-01,1026.15,382.180
1983-12-01,1040.70,388.030
1984-01-01,988.55,370.800
1984-02-01,1025.57,386.570
1984-03-01,1043.66,394.130
1984-04-01,1003.70,380.910
1984-05-01,992.88,377.810
1984-06-01,988.00,377.100
1984-07-01,905.04,346.760
1984-08-01,904.28,347.800
1984-09-01,882.82,341.120
1984-10-01,876.99,339.920
1984-11-01,879.99,341.080
1984-12-01,824.46,319.560
1985-01-01,778.29,302.250
1985-02-01,764.59,298.320
1985-03-01,777.62,304.470
1985-04-01,826.30,325.060
1985-05-01,801.38,316.500
1985-06-01,798.88,316.390
1985-07-01,800.40,317.620
1985-08-01,830.20,329.970
1985-09-01,809.83,322.770
1985-10-01,814.68,325.870
1985-11-01,810.72,325.200
1985-12-01,799.52,321.610
1986-01-01,857.36,345.850
1986-02-01,841.76,338.600
1986-03-01,863.06,345.640
1986-04-01,852.46,340.710
1986-05-01,854.51,342.490
1986-06-01,850.11,342.650
1986-07-01,865.08,348.680
1986-08-01,934.72,377.360
1986-09-01,1030.49,418.050
1986-10-01,1042.17,423.130
1986-11-01,978.72,397.690
1986-12-01,960.98,390.800
1987-01-01,997.45,408.290
1987-02-01,976.48,401.020
1987-03-01,992.00,409.240
1987-04-01,1059.10,439.280
1987-05-01,1104.80,459.950
1987-06-01,1076.49,449.660
1987-07-01,1076.87,451.140
1987-08-01,1094.07,460.660
1987-09-01,1087.52,460.230
1987-10-01,1097.17,465.690
1987-11-01,1101.70,468.010
1987-12-01,1145.79,486.740
1988-01-01,1117.39,475.890
1988-02-01,1034.04,441.520
1988-03-01,1034.55,443.630
1988-04-01,1047.76,451.620
1988-05-01,1043.04,451.140
1988-06-01,1038.38,450.880
1988-07-01,1003.33,437.560
1988-08-01,984.38,431.180
1988-09-01,934.46,412.020
1988-10-01,920.14,407.140
1988-11-01,949.44,420.480
1988-12-01,944.66,418.920
1989-01-01,905.61,403.570
1989-02-01,865.79,387.550
1989-03-01,866.62,390.020
1989-04-01,848.30,384.370
1989-05-01,813.51,370.620
1989-06-01,805.33,367.900
1989-07-01,818.80,374.910
1989-08-01,796.39,365.150
1989-09-01,786.79,361.910
1989-10-01,793.89,367.030
1989-11-01,852.82,395.190
1989-12-01,881.93,409.250
1990-01-01,875.58,410.490
1990-02-01,884.40,416.580
1990-03-01,827.96,392.210
1990-04-01,789.00,374.290
1990-05-01,776.11,369.050
1990-06-01,736.78,352.190
1990-07-01,756.18,362.850
1990-08-01,816.65,395.470
1990-09-01,795.91,388.820
1990-10-01,774.09,380.390
1990-11-01,775.29,381.730
1990-12-01,767.09,377.690
1991-01-01,773.36,383.040
1991-02-01,733.60,363.890
1991-03-01,731.18,363.230
1991-04-01,720.32,358.370
1991-05-01,715.37,356.970
1991-06-01,733.01,366.870
1991-07-01,733.30,367.570
1991-08-01,707.85,355.880
1991-09-01,690.78,348.880
1991-10-01,709.29,358.770
1991-11-01,710.75,360.420
1991-12-01,711.33,361.080
1992-01-01,697.44,354.570
